epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2401.64,1.62795,2.14624,1.63647,0.15678,0.17258,0.12192,0.04553,2.2015,2.92364,2.45506,0.000474097,0.000474097,0.000474097
2,4704.85,1.73264,2.17734,1.73799,0.1855,0.13066,0.08931,0.03496,2.06899,3.85695,2.49086,0.000931612,0.000931612,0.000931612
3,6992.62,1.75252,2.17944,1.74678,0.25247,0.18896,0.18038,0.07855,2.15243,2.80336,2.50819,0.00137026,0.00137026,0.00137026
4,9537.01,1.70832,2.08342,1.72463,0.2379,0.14984,0.1447,0.05822,2.20364,2.997,2.53302,0.00134412,0.00134412,0.00134412
5,11842.5,1.65291,1.97945,1.68095,0.27116,0.23402,0.21927,0.09842,2.0021,2.35505,2.25015,0.00131582,0.00131582,0.00131582
6,14176.7,1.60739,1.88349,1.63887,0.3926,0.27462,0.28121,0.12879,1.91991,2.23217,2.16963,0.00128753,0.00128753,0.00128753
7,16497.7,1.55745,1.80302,1.6096,0.36749,0.30996,0.29943,0.14027,1.79618,2.14695,2.07201,0.00125923,0.00125923,0.00125923
8,18802.9,1.51974,1.69409,1.56706,0.41194,0.28847,0.29095,0.13571,1.90833,2.23904,2.0966,0.00123094,0.00123094,0.00123094
9,21110.2,1.49102,1.64758,1.54738,0.38952,0.35917,0.33259,0.16764,1.76387,2.03271,2.02332,0.00120265,0.00120265,0.00120265
10,23431.1,1.45771,1.54546,1.52463,0.34848,0.35567,0.33739,0.16067,1.8192,2.01443,2.03872,0.00117435,0.00117435,0.00117435
11,25751.4,1.42497,1.49098,1.5011,0.42819,0.34369,0.35511,0.17266,1.77216,1.87705,2.07192,0.00114606,0.00114606,0.00114606
12,28039.2,1.41658,1.4651,1.48728,0.40879,0.44278,0.39527,0.20071,1.69662,1.78789,1.89714,0.00111776,0.00111776,0.00111776
13,30335.5,1.38296,1.40296,1.45876,0.41341,0.37562,0.37153,0.18683,1.76865,1.93774,2.00485,0.00108947,0.00108947,0.00108947
14,32637.3,1.39868,1.37824,1.45945,0.4227,0.39586,0.36676,0.1857,1.66887,1.81893,1.90846,0.00106118,0.00106118,0.00106118
15,34938.2,1.35807,1.34832,1.44297,0.57885,0.40312,0.43029,0.22626,1.65941,1.66042,1.86265,0.00103288,0.00103288,0.00103288
16,37241.4,1.35284,1.3159,1.44014,0.45924,0.38523,0.39408,0.20342,1.74439,1.84074,1.9749,0.00100459,0.00100459,0.00100459
17,39540.9,1.32786,1.2636,1.42823,0.48398,0.38115,0.42675,0.22599,1.64542,1.61618,1.87957,0.000976293,0.000976293,0.000976293
18,41830.1,1.32529,1.23932,1.41116,0.5177,0.49358,0.48606,0.25958,1.63699,1.56265,1.87973,0.000947999,0.000947999,0.000947999
19,44142.4,1.2993,1.24007,1.39926,0.53763,0.4448,0.47883,0.25338,1.60973,1.52538,1.82428,0.000919704,0.000919704,0.000919704
20,46428.3,1.28293,1.17902,1.37738,0.54854,0.51631,0.51182,0.27861,1.64503,1.48887,1.85499,0.00089141,0.00089141,0.00089141
21,48708,1.28362,1.17065,1.37674,0.5422,0.47239,0.47485,0.24725,1.60116,1.4798,1.81312,0.000863116,0.000863116,0.000863116
22,50994.7,1.25879,1.12502,1.36749,0.51003,0.51126,0.49588,0.25679,1.62861,1.45968,1.82208,0.000834822,0.000834822,0.000834822
